Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-178,3deg,0.689154489079763
272.5GHz,-178,4deg,-0.169164481789181
272.5GHz,-178,5deg,-1.18279287970264
272.5GHz,-178,6deg,-2.34859768460313
272.5GHz,-178,7deg,-3.68736145445346
272.5GHz,-178,8deg,-5.24627315435373
272.5GHz,-178,9deg,-7.10043497501463
272.5GHz,-178,10deg,-9.35252700942183
272.5GHz,-178,11deg,-12.1322856046271
272.5GHz,-178,12deg,-15.5977169615008
272.5GHz,-178,13deg,-19.7580480870634
272.5GHz,-178,14deg,-22.3535336020892
272.5GHz,-178,15deg,-19.6899916465619
272.5GHz,-178,16deg,-16.217468874142
272.5GHz,-178,17deg,-13.746421045842
272.5GHz,-178,18deg,-12.2356928022424
272.5GHz,-178,19deg,-11.5428751755211
272.5GHz,-178,20deg,-11.5481906497204
272.5GHz,-178,21deg,-12.1317997459851
272.5GHz,-178,22deg,-13.1429053966589
272.5GHz,-178,23deg,-14.3633706892443
272.5GHz,-178,24deg,-15.4923452424687
272.5GHz,-178,25deg,-16.255100154165
272.5GHz,-178,26deg,-16.6473765120997
272.5GHz,-178,27deg,-16.971278780772
272.5GHz,-178,28deg,-17.5709403671307
272.5GHz,-178,29deg,-18.6291537748591
272.5GHz,-178,30deg,-20.0561088986983
272.5GHz,-178,31deg,-21.2603077194329
272.5GHz,-178,32deg,-21.1585478913833
272.5GHz,-178,33deg,-19.4837062873402
272.5GHz,-178,34deg,-17.1227816393993
272.5GHz,-178,35deg,-14.7847929846382
272.5GHz,-178,36deg,-12.7659855259423
272.5GHz,-178,37deg,-11.1701779058979
272.5GHz,-178,38deg,-10.02156542543
272.5GHz,-178,39deg,-9.31166182109516
272.5GHz,-178,40deg,-9.01818289711298
272.5GHz,-178,41deg,-9.10425351565184
272.5GHz,-178,42deg,-9.49817912073896
272.5GHz,-178,43deg,-10.0580700127192
272.5GHz,-178,44deg,-10.5595501637382
272.5GHz,-178,45deg,-10.7958176482254
272.5GHz,-178,46deg,-10.7668924784006
272.5GHz,-178,47deg,-10.6966387263787
272.5GHz,-178,48deg,-10.8497180508255
272.5GHz,-178,49deg,-11.4132767417646
272.5GHz,-178,50deg,-12.492520067342
272.5GHz,-178,51deg,-14.1032593063224
272.5GHz,-178,52deg,-16.0070031134886
272.5GHz,-178,53deg,-17.2543543597166
272.5GHz,-178,54deg,-16.6957996420814
272.5GHz,-178,55deg,-15.01675465502
272.5GHz,-178,56deg,-13.3883549564511
272.5GHz,-178,57deg,-12.2105647319281
272.5GHz,-178,58deg,-11.5408983570279
272.5GHz,-178,59deg,-11.3757546778652
272.5GHz,-178,60deg,-11.7235054408612
272.5GHz,-178,61deg,-12.624343718491
272.5GHz,-178,62deg,-14.1667190329345
272.5GHz,-178,63deg,-16.5148092001686
272.5GHz,-178,64deg,-19.9077220901411
272.5GHz,-178,65deg,-23.9144254867735
272.5GHz,-178,66deg,-23.992528648099
272.5GHz,-178,67deg,-20.6722824825596
272.5GHz,-178,68deg,-18.0826762033704
272.5GHz,-178,69deg,-16.4381928219545
272.5GHz,-178,70deg,-15.4655051678192
272.5GHz,-178,71deg,-14.9687758136751
272.5GHz,-178,72deg,-14.8175236839067
272.5GHz,-178,73deg,-14.9183528516911
272.5GHz,-178,74deg,-15.1997031326387
272.5GHz,-178,75deg,-15.604906094342
272.5GHz,-178,76deg,-16.0893648412085
272.5GHz,-178,77deg,-16.6190881339859
272.5GHz,-178,78deg,-17.1688638382827
272.5GHz,-178,79deg,-17.7195363461311
272.5GHz,-178,80deg,-18.2550106172582
272.5GHz,-178,81deg,-18.7602191538418
272.5GHz,-178,82deg,-19.2210577331341
272.5GHz,-178,83deg,-19.6263625160613
272.5GHz,-178,84deg,-19.9708445404587
272.5GHz,-178,85deg,-20.2572248482657
272.5GHz,-178,86deg,-20.4962130240468
272.5GHz,-178,87deg,-20.7042650258895
272.5GHz,-178,88deg,-20.9002462940133
272.5GHz,-178,89deg,-21.1023783233877
272.5GHz,-178,90deg,-21.3262693565417
272.5GHz,-178,91deg,-21.5840939053382
272.5GHz,-178,92deg,-21.884553019071
272.5GHz,-178,93deg,-22.2331471999641
272.5GHz,-178,94deg,-22.6323561423956
272.5GHz,-178,95deg,-23.0813983400688
272.5GHz,-178,96deg,-23.5752878549003
272.5GHz,-178,97deg,-24.1029591313562
272.5GHz,-178,98deg,-24.6444556128666
272.5GHz,-178,99deg,-25.1679004108903
272.5GHz,-178,100deg,-25.628545173421
272.5GHz,-178,101deg,-25.9741454363808
272.5GHz,-178,102deg,-26.1602546131084
272.5GHz,-178,103deg,-26.1715904068966
272.5GHz,-178,104deg,-26.0354825601219
272.5GHz,-178,105deg,-25.8159069833772
272.5GHz,-178,106deg,-25.5936731989735
272.5GHz,-178,107deg,-25.4481193764063
272.5GHz,-178,108deg,-25.4486453179347
272.5GHz,-178,109deg,-25.6544051425055
272.5GHz,-178,110deg,-26.1169740363633
272.5GHz,-178,111deg,-26.8808056842394
272.5GHz,-178,112deg,-27.9737634106365
272.5GHz,-178,113deg,-29.3685891512584
272.5GHz,-178,114deg,-30.8753864072957
272.5GHz,-178,115deg,-31.9899739706164
272.5GHz,-178,116deg,-32.1391604470532
272.5GHz,-178,117deg,-31.4567936348029
272.5GHz,-178,118deg,-30.5713519139965
272.5GHz,-178,119deg,-29.8587758222068
272.5GHz,-178,120deg,-29.3691615581257
272.5GHz,-178,121deg,-28.9883293762634
272.5GHz,-178,122deg,-28.5836046628535
272.5GHz,-178,123deg,-28.1373012089495
272.5GHz,-178,124deg,-27.7841487240835
272.5GHz,-178,125deg,-27.7222397532541
272.5GHz,-178,126deg,-28.1008662564479
272.5GHz,-178,127deg,-28.9003195965892
272.5GHz,-178,128deg,-29.6772690732732
272.5GHz,-178,129deg,-29.4924577873752
272.5GHz,-178,130deg,-28.1623800259844
272.5GHz,-178,131deg,-26.6402043004802
272.5GHz,-178,132deg,-25.5814839204751
272.5GHz,-178,133deg,-25.0914510065921
272.5GHz,-178,134deg,-24.9202067128204
272.5GHz,-178,135deg,-24.5352109738453
272.5GHz,-178,136deg,-23.5435261740729
272.5GHz,-178,137deg,-22.2130545411682
272.5GHz,-178,138deg,-21.076036259376
272.5GHz,-178,139deg,-20.4362867266917
272.5GHz,-178,140deg,-20.3597427561161
272.5GHz,-178,141deg,-20.7422545724044
272.5GHz,-178,142deg,-21.3184451016275
272.5GHz,-178,143deg,-21.7694548101981
272.5GHz,-178,144deg,-22.0446743706392
272.5GHz,-178,145deg,-22.4739910662046
272.5GHz,-178,146deg,-23.4438953397757
272.5GHz,-178,147deg,-25.0337741848899
272.5GHz,-178,148deg,-26.4746443512493
272.5GHz,-178,149deg,-26.3401070083132
272.5GHz,-178,150deg,-25.2868952526494
272.5GHz,-178,151deg,-24.8909680076892
272.5GHz,-178,152deg,-25.8072285048044
272.5GHz,-178,153deg,-28.2650214291495
272.5GHz,-178,154deg,-31.4073133970401
272.5GHz,-178,155deg,-31.1356632766662
272.5GHz,-178,156deg,-29.1017361347568
272.5GHz,-178,157deg,-28.462928705365
272.5GHz,-178,158deg,-28.9925875449651
272.5GHz,-178,159deg,-28.7525497346722
272.5GHz,-178,160deg,-26.7422887249811
272.5GHz,-178,161deg,-24.899249460103
272.5GHz,-178,162deg,-24.2987469136274
272.5GHz,-178,163deg,-25.2316591107407
272.5GHz,-178,164deg,-28.1183072824075
272.5GHz,-178,165deg,-34.5037057816742
272.5GHz,-178,166deg,-46.8959623380772
272.5GHz,-178,167deg,-34.7907421917436
272.5GHz,-178,168deg,-31.2126510582006
272.5GHz,-178,169deg,-29.8780470823777
272.5GHz,-178,170deg,-29.1343616542251
272.5GHz,-178,171deg,-28.2864517263947
272.5GHz,-178,172deg,-27.049336941892
272.5GHz,-178,173deg,-25.29018907662
272.5GHz,-178,174deg,-23.2536866625266
272.5GHz,-178,175deg,-21.3926085564076
272.5GHz,-178,176deg,-19.955739935007
272.5GHz,-178,177deg,-18.9529489386286
272.5GHz,-178,178deg,-18.2882984427375
272.5GHz,-178,179deg,-17.8727501601416
272.5GHz,-178,180deg,-17.6669803767659
272.5GHz,-177,0deg,2.08645193650973
