Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-179,74deg,-10.3335763116481
272.5GHz,-179,75deg,-10.312752130781
272.5GHz,-179,76deg,-10.4152784821816
272.5GHz,-179,77deg,-10.6291617627283
272.5GHz,-179,78deg,-10.9429215175715
272.5GHz,-179,79deg,-11.344947032182
272.5GHz,-179,80deg,-11.8230894486783
272.5GHz,-179,81deg,-12.3644057114789
272.5GHz,-179,82deg,-12.9550064223653
272.5GHz,-179,83deg,-13.5799931858737
272.5GHz,-179,84deg,-14.2235035076541
272.5GHz,-179,85deg,-14.8689127749632
272.5GHz,-179,86deg,-15.4992677234949
272.5GHz,-179,87deg,-16.0980292537468
272.5GHz,-179,88deg,-16.6501620295397
272.5GHz,-179,89deg,-17.1435074410592
272.5GHz,-179,90deg,-17.5702306443748
272.5GHz,-179,91deg,-17.9280079224786
272.5GHz,-179,92deg,-18.2206118265087
272.5GHz,-179,93deg,-18.4577065241978
272.5GHz,-179,94deg,-18.6539224433514
272.5GHz,-179,95deg,-18.8274944113394
272.5GHz,-179,96deg,-18.9988070348525
272.5GHz,-179,97deg,-19.1890889965304
272.5GHz,-179,98deg,-19.419310145897
272.5GHz,-179,99deg,-19.7091367795021
272.5GHz,-179,100deg,-20.0756124471215
272.5GHz,-179,101deg,-20.531028943611
272.5GHz,-179,102deg,-21.0792290764173
272.5GHz,-179,103deg,-21.7095237098777
272.5GHz,-179,104deg,-22.3882959352574
272.5GHz,-179,105deg,-23.0520806455542
272.5GHz,-179,106deg,-23.6136764440563
272.5GHz,-179,107deg,-23.9961224313197
272.5GHz,-179,108deg,-24.1857003534524
272.5GHz,-179,109deg,-24.2561062575737
272.5GHz,-179,110deg,-24.3348963646476
272.5GHz,-179,111deg,-24.5477821551163
272.5GHz,-179,112deg,-24.979906153179
272.5GHz,-179,113deg,-25.6476686750677
272.5GHz,-179,114deg,-26.4534601724222
272.5GHz,-179,115deg,-27.13472896159
272.5GHz,-179,116deg,-27.3582337594646
272.5GHz,-179,117deg,-27.0672941366736
272.5GHz,-179,118deg,-26.5999909688185
272.5GHz,-179,119deg,-26.3647726843175
272.5GHz,-179,120deg,-26.643274265223
272.5GHz,-179,121deg,-27.6309786723299
272.5GHz,-179,122deg,-29.5093981607905
272.5GHz,-179,123deg,-32.3598303298859
272.5GHz,-179,124deg,-35.0503042637448
272.5GHz,-179,125deg,-34.2877648018892
272.5GHz,-179,126deg,-31.915545881966
272.5GHz,-179,127deg,-30.3938213474838
272.5GHz,-179,128deg,-29.9300429881663
272.5GHz,-179,129deg,-30.283037148561
272.5GHz,-179,130deg,-30.9118367652823
272.5GHz,-179,131deg,-30.8995751290293
272.5GHz,-179,132deg,-29.9524694073934
272.5GHz,-179,133deg,-28.9084416431904
272.5GHz,-179,134deg,-28.5318229024477
272.5GHz,-179,135deg,-29.1803091612615
272.5GHz,-179,136deg,-30.8883021217929
272.5GHz,-179,137deg,-32.3079959626199
272.5GHz,-179,138deg,-30.6012694055045
272.5GHz,-179,139deg,-27.8228706107562
272.5GHz,-179,140deg,-26.0643853281834
272.5GHz,-179,141deg,-25.5672558483307
272.5GHz,-179,142deg,-26.2783298353044
272.5GHz,-179,143deg,-28.0355901385735
272.5GHz,-179,144deg,-30.0472866633229
272.5GHz,-179,145deg,-30.6397936580706
272.5GHz,-179,146deg,-30.1240473428901
272.5GHz,-179,147deg,-30.2376155663822
272.5GHz,-179,148deg,-31.6468978536299
272.5GHz,-179,149deg,-34.0498278109417
272.5GHz,-179,150deg,-34.9458188923691
272.5GHz,-179,151deg,-32.6861679006532
272.5GHz,-179,152deg,-30.1167904117819
272.5GHz,-179,153deg,-28.3756711566104
272.5GHz,-179,154deg,-27.6969097582413
272.5GHz,-179,155deg,-28.3535964262516
272.5GHz,-179,156deg,-30.5446158778876
272.5GHz,-179,157deg,-32.0730876872587
272.5GHz,-179,158deg,-28.9989149384651
272.5GHz,-179,159deg,-26.0588078804575
272.5GHz,-179,160deg,-25.0588843040786
272.5GHz,-179,161deg,-26.0971882302884
272.5GHz,-179,162deg,-28.829006502791
272.5GHz,-179,163deg,-28.459352730709
272.5GHz,-179,164deg,-24.5987180442655
272.5GHz,-179,165deg,-22.2381115068887
272.5GHz,-179,166deg,-21.6427343343956
272.5GHz,-179,167deg,-22.2848902941558
272.5GHz,-179,168deg,-22.8338896137827
272.5GHz,-179,169deg,-21.8993904247386
272.5GHz,-179,170deg,-20.6591401240497
272.5GHz,-179,171deg,-20.5345167842237
272.5GHz,-179,172deg,-22.0150586360584
272.5GHz,-179,173deg,-24.7735213750908
272.5GHz,-179,174deg,-25.2912764484951
272.5GHz,-179,175deg,-22.8820952797089
