Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-179,159deg,-32.6570760250868
272.5GHz,-179,160deg,-35.20908783258
272.5GHz,-179,161deg,-32.3462965788547
272.5GHz,-179,162deg,-28.1202319956607
272.5GHz,-179,163deg,-25.7759131139743
272.5GHz,-179,164deg,-24.9525080819102
272.5GHz,-179,165deg,-25.2180315475528
272.5GHz,-179,166deg,-26.2119497995841
272.5GHz,-179,167deg,-27.6641836944622
272.5GHz,-179,168deg,-29.3470772728737
272.5GHz,-179,169deg,-30.5818162800958
272.5GHz,-179,170deg,-30.5977951785371
272.5GHz,-179,171deg,-30.1850828054814
272.5GHz,-179,172deg,-29.3743616316081
272.5GHz,-179,173deg,-26.2324325387963
272.5GHz,-179,174deg,-22.1371839662377
272.5GHz,-179,175deg,-18.9525061663344
272.5GHz,-179,176deg,-16.9151411618097
272.5GHz,-179,177deg,-15.8546689686469
272.5GHz,-179,178deg,-15.5360842106407
272.5GHz,-179,179deg,-15.686621856292
272.5GHz,-179,180deg,-16.0312403394725
272.5GHz,-178,0deg,5.79514763809603
272.5GHz,-178,1deg,5.49782538113518
272.5GHz,-178,2deg,4.87860165892014
272.5GHz,-178,3deg,3.94897403750574
272.5GHz,-178,4deg,2.70565255730565
272.5GHz,-178,5deg,1.11828778779944
272.5GHz,-178,6deg,-0.888991438963582
272.5GHz,-178,7deg,-3.46548201663288
272.5GHz,-178,8deg,-6.8690589700804
272.5GHz,-178,9deg,-11.3637791735992
272.5GHz,-178,10deg,-15.2569321077205
272.5GHz,-178,11deg,-13.9033113237834
272.5GHz,-178,12deg,-11.6971602571256
272.5GHz,-178,13deg,-10.8063728784836
272.5GHz,-178,14deg,-11.0888025116004
272.5GHz,-178,15deg,-12.3358001130629
272.5GHz,-178,16deg,-14.3660665072594
272.5GHz,-178,17deg,-16.80725444111
272.5GHz,-178,18deg,-18.6025874243049
272.5GHz,-178,19deg,-18.512356792899
272.5GHz,-178,20deg,-17.2412681938125
272.5GHz,-178,21deg,-16.0323163074668
272.5GHz,-178,22deg,-15.3359712436959
272.5GHz,-178,23deg,-15.2448169723263
272.5GHz,-178,24deg,-15.7787139384623
272.5GHz,-178,25deg,-16.9382509951518
272.5GHz,-178,26deg,-18.5908441614026
272.5GHz,-178,27deg,-20.0425250893051
272.5GHz,-178,28deg,-20.0028674238464
272.5GHz,-178,29deg,-18.6779232133603
272.5GHz,-178,30deg,-17.4064124742266
272.5GHz,-178,31deg,-16.7781823791578
272.5GHz,-178,32deg,-16.8754298879301
272.5GHz,-178,33deg,-17.6274798307798
272.5GHz,-178,34deg,-18.8693520011352
272.5GHz,-178,35deg,-20.2909047999406
272.5GHz,-178,36deg,-21.4660792093501
272.5GHz,-178,37deg,-22.1888791494486
272.5GHz,-178,38deg,-22.7504689788675
272.5GHz,-178,39deg,-23.6537693731688
272.5GHz,-178,40deg,-25.2748842497914
272.5GHz,-178,41deg,-27.3992676036946
272.5GHz,-178,42deg,-27.56673237241
272.5GHz,-178,43deg,-24.6204212506333
272.5GHz,-178,44deg,-21.5948770015318
272.5GHz,-178,45deg,-19.4197443452301
272.5GHz,-178,46deg,-17.9872041973603
272.5GHz,-178,47deg,-17.0833317555171
272.5GHz,-178,48deg,-16.5067362988155
272.5GHz,-178,49deg,-16.0986225474542
272.5GHz,-178,50deg,-15.7829101511354
272.5GHz,-178,51deg,-15.5805399704428
272.5GHz,-178,52deg,-15.5707447357334
272.5GHz,-178,53deg,-15.8324321456103
272.5GHz,-178,54deg,-16.402021077052
272.5GHz,-178,55deg,-17.2434803244269
272.5GHz,-178,56deg,-18.2157084351088
272.5GHz,-178,57deg,-19.0700137472474
272.5GHz,-178,58deg,-19.5796525356002
272.5GHz,-178,59deg,-19.7577946889708
272.5GHz,-178,60deg,-19.8501450887792
272.5GHz,-178,61deg,-20.1181274129902
272.5GHz,-178,62deg,-20.7203590735068
272.5GHz,-178,63deg,-21.7074843297895
272.5GHz,-178,64deg,-22.9958119117457
272.5GHz,-178,65deg,-24.2309156066879
272.5GHz,-178,66deg,-24.6982748381915
272.5GHz,-178,67deg,-23.9668825760379
272.5GHz,-178,68deg,-22.5245923111041
272.5GHz,-178,69deg,-20.9943903229172
272.5GHz,-178,70deg,-19.638067901127
